Date,Close_sp500,Close_tbill,Close_msft
2000-06-30,1454.6,5.7,39.87
2000-07-03,1469.54,5.87,39.87
2000-07-05,1446.23,5.81,39.12
2000-07-06,1456.67,5.84,40.34
2000-07-07,1478.9,5.85,40.87
2000-07-10,1475.62,5.88,39.59
2000-07-11,1480.88,5.92,39.43
2000-07-12,1492.92,5.99,40.03
2000-07-13,1495.84,5.98,39.84
2000-07-14,1509.98,5.97,39.34
2000-07-17,1510.49,5.96,38.97
2000-07-18,1493.74,5.97,39.12
2000-07-19,1481.96,5.98,36.44
2000-07-20,1495.57,6.0,37.29
2000-07-21,1480.19,5.94,36.04
2000-07-24,1464.29,5.97,35.17
2000-07-25,1474.47,6.01,34.39
2000-07-26,1452.42,5.99,33.8
2000-07-27,1449.62,6.02,34.57
2000-07-28,1419.89,6.0,34.73
2000-07-31,1430.83,6.02,34.79
2000-08-01,1438.1,6.06,34.23
2000-08-02,1438.7,6.05,34.57
2000-08-03,1452.56,6.04,35.01
2000-08-04,1462.93,6.04,34.45
2000-08-07,1479.32,6.04,34.89
2000-08-08,1482.8,6.07,36.94
2000-08-09,1472.87,6.05,37.01
2000-08-10,1460.25,6.06,36.19
2000-08-11,1471.84,6.09,36.1
2000-08-14,1491.56,6.08,35.98
2000-08-15,1484.43,6.08,35.7
2000-08-16,1479.85,6.08,35.39
2000-08-17,1496.07,6.07,35.67
2000-08-18,1491.72,6.07,35.39
2000-08-21,1499.48,6.08,35.2
2000-08-22,1498.13,6.08,35.51
2000-08-23,1505.97,6.09,35.26
2000-08-24,1508.31,6.09,35.45
2000-08-25,1506.45,6.11,35.2
2000-08-28,1514.09,6.13,35.54
2000-08-29,1509.84,6.12,35.36
2000-08-30,1502.59,6.12,34.89
2000-08-31,1517.68,6.11,34.79
2000-09-01,1520.77,6.08,34.98
2000-09-05,1507.08,6.06,34.95
2000-09-06,1492.25,6.01,34.61
2000-09-07,1502.51,6.0,34.92
2000-09-08,1494.5,5.96,34.54
2000-09-11,1489.26,5.94,34.29
2000-09-12,1481.99,5.91,33.95
2000-09-13,1484.91,5.91,34.02
2000-09-14,1480.87,5.95,32.8
2000-09-15,1465.81,5.96,31.99
2000-09-18,1444.51,5.95,31.4
2000-09-19,1459.9,5.97,32.4
2000-09-20,1451.34,5.97,32.02
2000-09-21,1449.05,5.96,31.99
2000-09-22,1448.72,5.97,31.52
2000-09-25,1439.03,5.98,30.53
2000-09-26,1427.21,5.98,31.24
2000-09-27,1426.57,6.01,30.22
2000-09-28,1458.29,6.05,30.56
2000-09-29,1436.51,6.03,30.06
2000-10-02,1436.23,6.01,29.47
2000-10-03,1426.46,6.05,28.19
2000-10-04,1434.32,6.04,27.63
2000-10-05,1436.28,6.05,27.6
2000-10-06,1408.99,6.05,27.69
2000-10-09,1402.03,6.05,27.01
2000-10-10,1387.02,6.04,27.19
2000-10-11,1364.59,6.04,27.79
2000-10-12,1329.78,6.0,27.1
2000-10-13,1374.17,6.0,26.79
2000-10-16,1374.62,6.04,25.11
2000-10-17,1349.97,6.09,25.14
